result_name,total_tree_length,internal_tree_length,log_likelihood,log_likelihood_sd,log_likelihood_Unconstrained,num_free_params,AIC,AICc,BIC,cpu_time,wc_time,loop,step
Q.p__Cloacimonadota,3574.3445,1172.3834,-3301901.342,14585.7653,-238981.8599,28865.0,6661532.684,6804378.062,6910055.9195,646000.0,19750.0,2,model_update
Q.p__Cloacimonadota,31.57,10.6829,-3362925.4731,14782.8521,-424263.7204,298.0,6726446.9463,6726451.3756,6729012.6807,295516.0,11764.8,best_model_reftree,reftree_best_concat_model
Q.p__Fusobacteriota,2287.449,956.1203,-2256859.9016,10551.7713,-234703.6908,31595.0,4576909.8032,4797279.6972,4849034.4326,259900.0,18850.0,1,subtree_update
Q.p__Fusobacteriota,2385.6459,1000.0403,-2245263.6642,10464.9769,-234703.6908,29862.0,4550251.3283,4715500.8245,4807449.7991,766400.0,26730.0,1,model_update
Q.p__Fusobacteriota,2418.221,1014.606,-2243441.5725,10460.9692,-234703.6908,30538.0,4547959.1449,4732322.0948,4810979.9372,160300.0,12540.0,2,subtree_update
Q.p__Fusobacteriota,2416.7691,1014.6341,-2244084.0632,10464.0156,-234703.6908,29862.0,4547892.1263,4713141.6225,4805090.5971,642600.0,22320.0,2,model_update
Q.p__Fusobacteriota,22.0785,9.4185,-2307251.0089,10732.3632,-420739.0829,288.0,4615078.0179,4615082.1416,4617558.5336,442873.0,19540.3,best_model_reftree,reftree_best_concat_model
Q.p__Caldisericota,1384.6108,759.8669,-1247519.0304,4416.346,-232122.4227,9620.0,2514278.0608,2520339.6248,2597015.8507,21900.0,1685.0,1,subtree_update
Q.p__Caldisericota,1392.8103,767.7565,-1242549.6342,4389.7963,-232122.4227,9391.0,2503881.2683,2509614.7017,2584649.5203,143500.0,4672.0,1,model_update
Q.p__Caldisericota,1396.9062,769.7966,-1241549.0995,4385.6162,-232122.4227,9528.0,2502154.199,2508082.525,2584100.7335,16710.0,1414.0,2,subtree_update
Q.p__Caldisericota,1398.0631,770.4153,-1242006.1871,4386.9147,-232122.4227,9391.0,2502794.3741,2508527.8075,2583562.6261,116700.0,3623.0,2,model_update
Q.p__Caldisericota,12.9274,7.3653,-1262876.1812,4458.4586,-415680.5971,107.0,2525966.3624,2525966.9394,2526886.6268,179793.0,6941.64,best_model_reftree,reftree_best_concat_model
Q.p__Zixibacteria,3684.6366,1345.9703,-3470948.0323,14496.094,-239813.3714,28094.0,6998084.0645,7125380.4003,7239944.1441,402000.0,20260.0,1,subtree_update
Q.p__Zixibacteria,3887.7628,1426.9351,-3462405.1892,14469.7689,-239813.3714,26909.0,6978628.3784,7085226.5221,7210286.8422,854300.0,28030.0,1,model_update
Q.p__Zixibacteria,3868.5748,1423.3098,-3460560.7941,14466.4959,-239813.3714,27846.0,6976813.5882,7099420.5235,7216538.6462,263100.0,12800.0,2,subtree_update
Q.p__Zixibacteria,3891.9934,1432.332,-3461607.2752,14471.465,-239813.3714,26909.0,6977032.5504,7083630.6941,7208691.0142,641900.0,21180.0,2,model_update
Q.p__Zixibacteria,33.6517,12.1146,-3508797.1396,14602.0704,-424889.7437,280.0,7018154.2791,7018158.1921,7020564.7875,300351.0,18648.7,best_model_reftree,reftree_best_concat_model
Q.p__Marinisomatota,5858.1823,2703.3531,-5478923.1636,22725.9705,-469468.1684,51739.0,11061324.3272,11247393.4076,11542299.7134,939600.0,50740.0,1,subtree_update
Q.p__Marinisomatota,6103.0536,2829.8797,-5453786.6325,22561.8692,-469468.1684,49736.0,11007045.265,11167796.4385,11469400.3899,1740000.0,52900.0,1,model_update
Q.p__Marinisomatota,6199.7608,2845.3636,-5479947.8687,22674.267,-469533.0207,51441.0,11062777.7374,11244817.9756,11540983.4989,499300.0,26790.0,2,subtree_update
Q.p__Marinisomatota,6216.5702,2852.7106,-5481830.3075,22677.4506,-469533.0207,49872.0,11063404.615,11225748.2124,11527024.6406,1780000.0,52060.0,2,model_update
Q.p__Marinisomatota,56.67,28.1784,-5743823.2252,24226.2938,-425999.2928,562.0,11488770.4504,11488786.365,11493606.3209,360541.0,22266.9,best_model_reftree,../Result_nova/phylum_models/Q.p__Marinisomatota/final_test/logfiles/reftree_best_concat_model
Q.p__Margulisbacteria,3646.4114,1198.4533,-2844669.9486,10346.9589,-231121.9943,17718.0,5724775.8971,5754061.8339,5876714.5785,156500.0,8360.0,1,subtree_update
Q.p__Margulisbacteria,3779.0994,1240.3328,-2840624.4589,10328.9126,-231121.9943,16893.0,5715034.9178,5740670.6997,5859898.9061,309100.0,10010.0,1,model_update
Q.p__Margulisbacteria,3797.1351,1244.4496,-2838064.5621,10321.3442,-231121.9943,17673.0,5711475.1242,5740551.466,5863027.9132,114300.0,8319.0,2,subtree_update
Q.p__Margulisbacteria,3815.6927,1249.5259,-2839764.7212,10327.6036,-231121.9943,16893.0,5713315.4424,5738951.2243,5858179.4306,161500.0,5102.0,2,model_update
Q.p__Margulisbacteria,34.717,11.7713,-2883822.9558,10418.841,-409000.5052,186.0,5768017.9117,5768019.6967,5769612.9334,185601.0,8927.83,best_model_reftree,reftree_best_concat_model
Q.p__Fibrobacterota,3302.6974,1339.3308,-3176276.3297,13677.0084,-242077.2794,38555.0,6429662.6594,7727939.1484,6761912.8462,429400.0,22000.0,1,subtree_update
Q.p__Fibrobacterota,3432.5408,1399.1326,-3168755.2941,13635.368,-242077.2794,37638.0,6412786.5882,7296264.4067,6737134.4686,790000.0,30640.0,1,model_update
Q.p__Fibrobacterota,3436.9276,1398.4614,-3164374.2187,13616.3664,-242077.2794,38510.0,6405768.4375,7676054.1848,6737630.8339,246700.0,12400.0,2,subtree_update
Q.p__Fibrobacterota,3472.7259,1411.5991,-3165864.3387,13624.5248,-242077.2794,37638.0,6407004.6774,7290482.4959,6731352.5578,914000.0,35830.0,2,model_update
Q.p__Fibrobacterota,29.4639,12.3057,-3284745.3726,14065.1233,-429108.3055,400.0,6570290.7452,6570298.6769,6573737.7708,641935.0,22279.5,best_model_reftree,reftree_best_concat_model
Q.p__Bipolaricaulota,2005.3595,857.9996,-2099251.825,9259.6735,-207739.5636,20691.0,4239885.6501,4297793.0244,4415276.9722,146600.0,22740.0,1,subtree_update
Q.p__Bipolaricaulota,2069.2811,889.438,-2089570.0567,9183.658,-207739.5636,19317.0,4217774.1134,4263955.1425,4381518.4549,439100.0,16010.0,1,model_update
Q.p__Bipolaricaulota,2087.8496,896.1231,-2087431.5971,9174.5901,-207739.5636,19776.0,4214415.1941,4264231.7719,4382050.3392,98070.0,15440.0,2,subtree_update
Q.p__Bipolaricaulota,2081.2107,892.432,-2088721.9198,9179.8149,-207739.5636,19317.0,4216077.8395,4262258.8687,4379822.181,211500.0,7460.0,2,model_update
Q.p__Bipolaricaulota,20.2278,8.577,-2132448.9502,9353.6609,-365971.9003,224.0,4265345.9005,4265348.7597,4267244.6804,255330.0,23100.9,best_model_reftree,reftree_best_concat_model
Q.p__Spirochaetota,25301.9952,9465.4901,-23966727.6153,46599.3664,-2999386.1395,261263.0,48455981.2305,48943835.489,51382480.0558,2489000.0,55190.0,1,subtree_update
Q.p__Spirochaetota,26119.759,9797.1514,-23965045.4889,46596.7876,-2999386.1395,248622.0,48427334.9778,48850027.9956,51212237.5125,4114000.0,82350.0,1,model_update
Q.p__Spirochaetota,25328.5754,9536.9143,-23229834.8362,45629.4713,-2805317.4218,255437.0,46970543.6724,47499536.1804,49812691.1307,1794000.0,44450.0,2,subtree_update
Q.p__Spirochaetota,25747.3837,9696.8452,-23265709.3793,45704.3726,-2805317.4218,244330.0,47020078.7586,47483215.4498,49738642.9779,3646000.0,73140.0,2,model_update
Q.p__Spirochaetota,241.0771,94.7099,-25421764.3778,111925.5974,-432364.5052,2708.0,50848944.7557,50849330.2103,50872276.2754,1526870.0,76918.7,best_model_reftree,reftree_best_concat_model
Q.p__Chlamydiota,9334.8714,2282.4253,-8059810.0602,36622.9717,-633215.6922,60507.0,16240634.1204,16383033.4342,16823051.511,1525000.0,81260.0,1,subtree_update
Q.p__Chlamydiota,9823.5414,2393.9126,-8042428.964,36524.8341,-633215.6922,57903.0,16200663.928,16324784.8095,16758016.2041,1699000.0,51120.0,1,model_update
Q.p__Chlamydiota,9706.144,2355.2387,-7940842.1604,36512.0642,-633881.6161,59501.0,16000686.3208,16135750.1633,16573419.8061,1018000.0,41820.0,2,subtree_update
Q.p__Chlamydiota,9814.9361,2380.7921,-7944911.3765,36530.1544,-633881.6161,57307.0,16004436.7529,16124691.2222,16556051.6475,1611000.0,49100.0,2,model_update
Q.p__Chlamydiota,101.3277,24.8526,-8185228.3524,35910.1428,-397746.6471,634.0,16371724.7048,16371746.2775,16377141.7669,554093.0,27174.4,best_model_reftree,../Result_nova/phylum_models/Q.p__Chlamydiota/final_test/logfiles/reftree_best_concat_model
Q.p__Synergistota,4279.7161,1932.0164,-4285721.307,19668.3142,-235856.7048,44722.0,8660886.6139,4008864898.6139,9045177.2897,496400.0,21530.0,1,subtree_update
Q.p__Synergistota,4434.6588,2014.0294,-4268054.6658,19564.3239,-235856.7048,43038.0,8622185.3316,3713247149.3316,8992005.6013,878500.0,31350.0,1,model_update
Q.p__Synergistota,4472.4504,2036.7756,-4265513.6224,19553.5374,-235856.7048,44193.0,8619413.2447,3914750297.2447,8999158.2882,689100.0,34300.0,2,subtree_update
Q.p__Synergistota,4453.9265,2027.9222,-4266814.4906,19559.7654,-235856.7048,43038.0,8619704.9813,3713244668.9813,8989525.251,1082000.0,36450.0,2,model_update
Q.p__Synergistota,40.0913,18.6481,-4361977.4749,19856.2263,-417656.7685,428.0,8724810.9498,8724820.2652,8728488.7015,454955.0,36224.0,best_model_reftree,../Result_nova/phylum_models/Q.p__Synergistota/final_test/logfiles/reftree_best_concat_model
Q.p__Deinococcota,2838.4056,1147.5712,-3209962.5607,15771.9014,-229709.1275,47990.0,6515905.1213,4612692085.1213,6927609.1407,712700.0,47950.0,1,subtree_update
Q.p__Deinococcota,2977.8159,1202.057,-3192979.0728,15648.8862,-229709.1275,45779.0,6477516.1455,4198002756.1455,6870252.0968,1350000.0,51090.0,1,model_update
Q.p__Deinococcota,2951.9831,1196.8318,-3187582.1434,15622.0036,-229709.1275,46870.0,6468904.2868,4400156444.2868,6870999.8773,432300.0,22870.0,2,subtree_update
Q.p__Deinococcota,2953.7693,1196.1265,-3190076.6914,15634.1866,-229709.1275,45779.0,6471711.3829,4197996951.3829,6864447.3342,1332000.0,42750.0,2,model_update
Q.p__Deinococcota,25.6145,10.4858,-3278779.3642,16042.1503,-408743.3336,434.0,6558426.7284,6558436.4438,6562149.9946,408924.0,21363.5,best_model_reftree,../Result_nova/phylum_models/Q.p__Deinococcota/final_test/logfiles/reftree_best_concat_model
Q.p__Poribacteria,1430.6711,642.1558,-1564079.5128,7110.2808,-224850.9067,19713.0,3167585.0256,3208436.7108,3336419.5361,94810.0,7999.0,1,subtree_update
Q.p__Poribacteria,1428.1185,642.9607,-1554997.2681,7044.4792,-224850.9067,19220.0,3148434.5363,3186287.6661,3313046.6852,393400.0,14670.0,1,model_update
Q.p__Poribacteria,1423.0984,639.0755,-1554160.3257,7039.9288,-224850.9067,19566.0,3147452.6514,3187388.8035,3315028.1616,68550.0,3657.0,2,subtree_update
Q.p__Poribacteria,1425.2532,640.6905,-1554407.0555,7040.1038,-224850.9067,19220.0,3147254.1111,3185107.2408,3311866.26,400900.0,14850.0,2,model_update
Q.p__Poribacteria,12.6,5.7912,-1598207.5519,7201.8076,-399906.4856,198.0,3196811.1037,3196813.1484,3198506.9001,518783.0,14809.9,best_model_reftree,reftree_best_concat_model
Q.p__Krumholzibacteriota,2378.2711,882.2485,-2351433.0329,9751.1484,-236540.1732,20406.0,4743678.0658,4785719.9883,4919211.3975,161200.0,11360.0,1,subtree_update
Q.p__Krumholzibacteriota,2449.1411,907.4688,-2343615.5094,9691.2377,-236540.1732,18804.0,4724839.0187,4757868.0884,4886591.8742,299700.0,9880.0,1,model_update
Q.p__Krumholzibacteriota,2469.8181,917.9085,-2341558.2637,9686.5259,-236540.1732,19515.0,4722146.5273,4758942.3092,4890015.4369,114500.0,5509.0,2,subtree_update
Q.p__Krumholzibacteriota,2460.1407,913.1402,-2343133.4615,9691.2887,-236540.1732,18804.0,4723874.923,4756903.9927,4885627.7785,228700.0,7502.0,2,model_update
Q.p__Krumholzibacteriota,21.203,7.9385,-2383918.6871,9794.8248,-419940.0944,199.0,4768235.3742,4768237.3633,4769947.1811,448865.0,27523.3,best_model_reftree,reftree_best_concat_model
Q.p__Deferribacterota,1254.3956,676.7609,-1194960.3013,4922.7542,-228056.8083,11091.0,2412102.6025,2420492.5208,2507563.1779,14790.0,819.1,1,subtree_update
Q.p__Deferribacterota,1311.8922,712.2204,-1191030.321,4912.5552,-228056.8083,10683.0,2403426.642,2411103.8581,2495375.549,83650.0,2155.0,1,model_update
Q.p__Deferribacterota,1322.0737,722.1115,-1190969.6526,4912.4204,-228056.8083,10886.0,2403711.3053,2411737.8456,2497407.4394,11870.0,1219.0,2,subtree_update
Q.p__Deferribacterota,1322.5359,722.2144,-1191239.605,4913.1616,-228056.8083,10683.0,2403845.21,2411522.4261,2495794.1169,81450.0,1825.0,2,model_update
Q.p__Deferribacterota,11.7313,6.2979,-1213488.1808,4999.9415,-411569.6201,109.0,2427194.3615,2427194.9565,2428132.5279,200600.0,20358.6,best_model_reftree,reftree_best_concat_model
Q.p__Dependentiae,4288.0775,1129.8908,-3561907.2946,15201.9034,-202789.274,22954.0,7169722.5892,7262195.2235,7363555.0349,499500.0,35160.0,1,subtree_update
Q.p__Dependentiae,4619.925,1212.6268,-3555102.9643,15157.152,-202789.274,21658.0,7153521.9286,7227441.0307,7336410.4495,628700.0,21490.0,1,model_update
Q.p__Dependentiae,4616.5075,1204.4648,-3551100.4618,15142.8999,-202789.274,22756.0,7147712.9235,7237045.0422,7339873.3806,272100.0,15210.0,2,subtree_update
Q.p__Dependentiae,4675.5384,1218.781,-3553679.6418,15154.6233,-202789.274,21658.0,7150675.2837,7224594.3858,7333563.8045,416100.0,15610.0,2,model_update
Q.p__Dependentiae,49.4641,13.2531,-3592289.3078,15269.5825,-354301.2793,260.0,7185098.6156,7185102.5968,7187294.1561,293431.0,8879.03,best_model_reftree,reftree_best_concat_model
